퍼즐 보드 ID,배열 정보,스포너 위치,예비 배열
4160,0:-3:0:Flour_s|-1:-3:0:FlourBag|0:-5:0:Flour_s|-1:-5:0:FlourBag|-2:-1:0:Egg|-2:-2:0:Egg|-2:-3:0:Egg|1:-1:0:Egg|1:-2:0:Egg|1:-3:0:Egg|-1:-2:0:Flour_s|0:-2:0:Flour_s|0:-1:0:Flour_s|-1:-1:0:FlourBag|-1:0:0:Flour_s|0:0:0:Flour_s|0:-4:0:Flour_s|-1:-4:0:Flour_s|-4:2:0:Lavender|-3:1:0:Lavender|-2:0:0:Sugar|2:-1:0:Lavender|3:-1:0:Lavender|1:-4:0:Lavender|-3:-5:0:Lavender|-4:-4:0:Sugar|-4:-3:0:Lavender|-4:-2:0:Lavender|-1:1:0:Chocolate|0:1:0:Chocolate|2:-3:0:Chocolate|3:-5:0:Chocolate|-2:-5:0:Chocolate|-4:-5:0:Sugar|-3:-1:0:Blueberry|-4:-1:0:Chocolate|-4:0:0:Chocolate|2:1:0:Chocolate|-3:2:0:Blueberry|-2:2:0:Blueberry|-2:1:0:Blueberry|-3:-2:0:Blueberry|-3:-4:0:Blueberry|3:-4:0:Blueberry|1:-5:0:Blueberry|3:-2:0:Sugar|2:-2:0:Sugar|0:2:0:Cheese|1:1:0:Cheese|1:0:0:Cheese|3:0:0:Cheese|3:2:0:Cheese|2:-5:0:Cheese|2:-4:0:Cheese|3:-3:0:Cheese|-2:-4:0:Cheese|-3:-3:0:Cheese|-3:0:0:Strawberry|-4:1:0:Strawberry|-1:2:0:Strawberry|1:2:0:Strawberry|2:2:0:Strawberry|2:0:0:Strawberry|3:1:0:Strawberry|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4161,-2:-2:0:FlourBag|-1:-2:0:Flour_s|-1:-1:0:Flour_s|-2:-1:0:Flour_s|0:-2:0:FlourBag|1:-2:0:Flour_s|1:-1:0:Flour_s|0:-1:0:Flour_s|-1:-5:0:FlourBag|0:-5:0:Flour_s|0:-4:0:Flour_s|-1:-4:0:Flour_s|-1:0:0:Egg|0:0:0:Egg|-2:-3:0:Egg|-1:-3:0:Egg|0:-3:0:Egg|1:-3:0:Egg|3:2:0:Strawberry|-4:-4:0:Strawberry|-4:1:0:Strawberry|2:-5:0:Strawberry|-1:1:0:Cheese|3:-1:0:Strawberry|3:1:0:Strawberry|1:2:0:Strawberry|-4:-3:0:Strawberry|-2:1:0:Cheese|-2:0:0:Cheese|3:-5:0:Cheese|-2:-5:0:Cheese|-4:-1:0:Cheese|3:-2:0:Cheese|-4:2:0:Blueberry|0:1:0:Blueberry|1:1:0:Blueberry|1:0:0:Blueberry|2:0:0:Blueberry|-2:-4:0:Blueberry|-4:-2:0:Blueberry|-4:-5:0:Chocolate|-3:-2:0:Chocolate|-3:-1:0:Chocolate|3:-4:0:Chocolate|1:-5:0:Chocolate|2:1:0:Chocolate|0:2:0:Sugar|-1:2:0:Sugar|-3:1:0:Sugar|-3:0:0:Sugar|-4:0:0:Sugar|-3:-3:0:Sugar|1:-4:0:Sugar|2:-4:0:Sugar|2:-3:0:Sugar|3:-3:0:Sugar|3:0:0:Sugar|2:2:0:Sugar|-3:2:0:Lavender|-2:2:0:Lavender|2:-1:0:Lavender|2:-2:0:Lavender|-3:-4:0:Lavender|-3:-5:0:Lavender|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4162,-2:-3:0:FlourBag|-1:-3:0:Flour_s|-1:-2:0:Flour_s|3:2:0:Strawberry|0:-3:0:FlourBag|1:-3:0:Flour_s|1:-2:0:Flour_s|0:-2:0:Flour_s|-1:-1:0:FlourBag|0:-1:0:Flour_s|0:0:0:Flour_s|-1:0:0:Flour_s|0:-5:0:Egg|-1:-5:0:Egg|-1:-4:0:Egg|0:-4:0:Egg|-2:-1:0:Egg|1:-1:0:Egg|-4:2:0:Lavender|2:-5:0:Sugar|3:-2:0:Lavender|3:0:0:Lavender|1:1:0:Lavender|-3:-3:0:Lavender|-4:-5:0:Lavender|3:-4:0:Lavender|-2:1:0:Chocolate|-4:-1:0:Chocolate|-4:-3:0:Chocolate|-3:-5:0:Chocolate|3:-3:0:Chocolate|2:-3:0:Chocolate|2:-2:0:Chocolate|3:1:0:Chocolate|1:0:0:Chocolate|-2:2:0:Blueberry|-3:2:0:Blueberry|-3:1:0:Blueberry|-4:-4:0:Blueberry|-3:-4:0:Cheese|-2:-4:0:Strawberry|-2:-5:0:Strawberry|1:-5:0:Cheese|2:-4:0:Cheese|1:-4:0:Cheese|3:-5:0:Cheese|3:-1:0:Sugar|2:-1:0:Sugar|2:0:0:Sugar|0:1:0:Sugar|-2:0:0:Sugar|-3:-1:0:Sugar|-4:-2:0:Sugar|-3:-2:0:Sugar|2:1:0:Strawberry|-4:1:0:Strawberry|-4:0:0:Strawberry|-3:0:0:Strawberry|-1:1:0:Strawberry|1:2:0:Strawberry|2:2:0:Chocolate|0:2:0:Chocolate|-1:2:0:Chocolate|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4163,-1:-5:0:Coin|-1:-4:0:Coin|-2:-3:0:Coin|-2:-2:0:Coin|-2:-1:0:Coin|-1:0:0:Coin|0:0:0:Coin|1:-1:0:Coin|1:-2:0:Coin|1:-3:0:Coin|0:-4:0:Coin|0:-5:0:Coin|0:-1:0:Coin|-1:-1:0:Coin|0:-2:0:Flour_s|0:-3:0:Flour_s|-1:-3:0:FlourBag|-1:-2:0:Flour_s|-4:2:0:Lavender|2:-5:0:Lavender|3:-4:0:Lavender|3:0:0:Lavender|1:1:0:Chocolate|-3:-4:0:Chocolate|-3:-5:0:Chocolate|-4:-5:0:Chocolate|-4:-1:0:Chocolate|2:-3:0:Sugar|3:-3:0:Sugar|-3:1:0:Blueberry|0:2:0:Cheese|1:2:0:Blueberry|-1:2:0:Blueberry|2:-1:0:Blueberry|2:-2:0:Blueberry|3:-5:0:Blueberry|-3:-3:0:Blueberry|-4:-3:0:Blueberry|3:1:0:Cheese|2:1:0:Cheese|1:0:0:Cheese|-3:-2:0:Cheese|-4:-2:0:Cheese|-2:-4:0:Cheese|2:-4:0:Cheese|3:-2:0:Cheese|1:-4:0:Cheese|-3:0:0:Strawberry|-2:0:0:Strawberry|0:1:0:Strawberry|2:0:0:Strawberry|3:2:0:Strawberry|2:2:0:Strawberry|3:-1:0:Strawberry|-4:-4:0:Strawberry|-2:-5:0:Sugar|1:-5:0:Sugar|-4:0:0:Sugar|-3:-1:0:Sugar|-4:1:0:Sugar|-2:1:0:Sugar|-3:2:0:Sugar|-2:2:0:Sugar|-1:1:0:Sugar|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4164,-4:-4:0:DonutBag|-4:-5:0:DonutBag|-3:-5:0:DonutBag|-2:-5:0:DonutBag|1:-5:0:DonutBag|2:-5:0:DonutBag|3:-5:0:DonutBag|3:-4:0:DonutBag|-3:2:0:Egg|-4:1:0:Egg|2:2:0:Egg|3:1:0:Egg|1:0:0:Egg|-2:0:0:Egg|-1:-2:0:Egg|0:-2:0:Egg|-4:2:0:Sugar|3:2:0:Sugar|-2:1:0:Lavender|0:-1:0:Lavender|2:-1:0:Lavender|2:-4:0:Lavender|0:-5:0:Lavender|-3:-4:0:Lavender|-3:-3:0:Lavender|-4:-2:0:Lavender|0:2:0:Lavender|1:2:0:Lavender|-1:2:0:Chocolate|-2:2:0:Chocolate|-3:1:0:Chocolate|-1:-5:0:Chocolate|0:-4:0:Chocolate|1:-4:0:Chocolate|3:-3:0:Chocolate|3:-1:0:Chocolate|0:0:0:Chocolate|-3:0:0:Blueberry|-2:-4:0:Blueberry|2:-3:0:Blueberry|1:-2:0:Blueberry|1:-1:0:Blueberry|3:0:0:Blueberry|0:1:0:Blueberry|-1:1:0:Blueberry|-1:0:0:Cheese|-4:-1:0:Cheese|-4:0:0:Cheese|-1:-4:0:Cheese|0:-3:0:Cheese|3:-2:0:Cheese|2:-2:0:Cheese|2:0:0:Cheese|1:1:0:Strawberry|2:1:0:Strawberry|-2:-1:0:Strawberry|-2:-2:0:Strawberry|-1:-3:0:Strawberry|1:-3:0:Strawberry|-1:-1:0:Sugar|-3:-1:0:Sugar|-4:-3:0:Sugar|-3:-2:0:Sugar|-2:-3:0:Sugar|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4165,-3:2:0:DonutBag|-1:0:0:Cheese|-1:1:0:Chocolate|-2:1:0:Blueberry|-4:1:0:DonutBag|-2:4:0:Flour_s|-2:5:0:Flour_s|-3:5:0:Flour_s|2:2:0:DonutBag|3:1:0:DonutBag|-4:-4:0:DonutBag|-4:-5:0:DonutBag|-3:-5:0:DonutBag|-2:-5:0:DonutBag|1:-5:0:DonutBag|2:-5:0:DonutBag|3:-5:0:DonutBag|3:-4:0:DonutBag|-2:0:0:Egg|1:0:0:Egg|-1:-2:0:Egg|0:-2:0:Egg|-3:-3:0:Sugar|2:-3:0:Sugar|-2:-3:0:Sugar|1:-3:0:Sugar|3:2:0:Sugar|-4:2:0:Sugar|0:-1:0:Cheese|-1:-1:0:Cheese|2:-2:0:Cheese|0:-5:0:Cheese|-2:-4:0:Cheese|-3:-2:0:Cheese|-4:-2:0:Cheese|1:2:0:Cheese|-2:2:0:Blueberry|-3:1:0:Blueberry|1:-4:0:Blueberry|2:-4:0:Blueberry|3:-2:0:Blueberry|3:-1:0:Blueberry|-1:-5:0:Blueberry|-3:-4:0:Blueberry|-4:-3:0:Blueberry|-4:0:0:Strawberry|-3:0:0:Strawberry|-1:-3:0:Strawberry|0:-3:0:Strawberry|-1:-4:0:Strawberry|2:-1:0:Strawberry|0:2:0:Strawberry|1:1:0:Strawberry|0:0:0:Strawberry|-1:2:0:Chocolate|0:1:0:Chocolate|3:0:0:Chocolate|1:-1:0:Chocolate|1:-2:0:Chocolate|-2:-2:0:Chocolate|-4:-1:0:Chocolate|0:-4:0:Chocolate|3:-3:0:Chocolate|-3:-1:0:Lavender|-2:-1:0:Lavender|2:1:0:Lavender|2:0:0:Lavender|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4166,-4:-4:0:Egg|-4:-5:0:Egg|-3:-5:0:Egg|-2:-5:0:Egg|1:-5:0:Egg|2:-5:0:Egg|3:-5:0:Egg|3:-4:0:Egg|-3:2:0:DonutBag|-4:1:0:DonutBag|2:2:0:DonutBag|3:1:0:DonutBag|-1:-2:0:DonutBag|0:-2:0:DonutBag|-2:0:0:DonutBag|-4:-3:0:Sugar|1:0:0:DonutBag|-3:-4:0:Sugar|-2:-4:0:Sugar|-1:-5:0:Sugar|0:-5:0:Sugar|1:-4:0:Sugar|2:-4:0:Sugar|3:-3:0:Sugar|-4:2:0:Sugar|3:2:0:Sugar|-1:2:0:Strawberry|-3:-2:0:Strawberry|-4:-1:0:Strawberry|1:-3:0:Strawberry|3:-1:0:Strawberry|2:-1:0:Strawberry|0:-4:0:Strawberry|-1:-4:0:Strawberry|-1:1:0:Strawberry|0:1:0:Cheese|-3:-1:0:Cheese|-4:-2:0:Cheese|0:-1:0:Cheese|0:0:0:Blueberry|-1:-1:0:Cheese|3:0:0:Blueberry|1:2:0:Blueberry|0:2:0:Blueberry|-3:1:0:Blueberry|-3:0:0:Blueberry|-2:-3:0:Blueberry|1:1:0:Chocolate|2:1:0:Chocolate|2:0:0:Chocolate|-2:-1:0:Chocolate|-2:-2:0:Chocolate|-1:-3:0:Chocolate|0:-3:0:Chocolate|-4:0:0:Chocolate|-2:1:0:Chocolate|-2:2:0:Chocolate|-1:0:0:Lavender|-3:-3:0:Lavender|1:-1:0:Lavender|3:-2:0:Lavender|2:-2:0:Lavender|2:-3:0:Lavender|1:-2:0:Sugar|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4167,-3:2:0:Coin|-4:1:0:Coin|2:2:0:Coin|3:1:0:Coin|-2:0:0:Egg|1:0:0:Egg|-1:-2:0:Egg|0:-2:0:Egg|-4:-4:0:Coin|-4:-5:0:Coin|-3:-5:0:Coin|-2:-5:0:Coin|1:-5:0:Coin|2:-5:0:Coin|3:-5:0:Coin|3:-4:0:Coin|-4:-3:0:Cheese|-3:-4:0:Cheese|-1:-5:0:Cheese|0:-5:0:Cheese|2:-4:0:Cheese|3:-3:0:Cheese|3:2:0:Cheese|-4:2:0:Cheese|-3:1:0:Sugar|2:1:0:Sugar|-2:-2:0:Sugar|1:-2:0:Sugar|-2:2:0:Strawberry|0:0:0:Strawberry|-1:-1:0:Strawberry|-3:-1:0:Strawberry|-4:-2:0:Strawberry|1:-4:0:Strawberry|2:-3:0:Strawberry|3:0:0:Strawberry|3:-1:0:Strawberry|-1:2:0:Chocolate|-1:1:0:Chocolate|-2:1:0:Chocolate|-4:-1:0:Chocolate|-3:-3:0:Chocolate|-2:-3:0:Chocolate|-2:-4:0:Chocolate|0:-4:0:Chocolate|1:-3:0:Chocolate|3:-2:0:Chocolate|-4:0:0:Lavender|-3:0:0:Lavender|-1:0:0:Lavender|0:1:0:Lavender|1:2:0:Lavender|2:-2:0:Lavender|0:-3:0:Lavender|-1:-3:0:Lavender|-1:-4:0:Lavender|0:2:0:Blueberry|1:1:0:Blueberry|2:0:0:Blueberry|2:-1:0:Blueberry|1:-1:0:Blueberry|-2:-1:0:Blueberry|-3:-2:0:Blueberry|0:-1:0:Strawberry|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4168,-3:1:0:Egg|-1:1:0:Egg|0:1:0:Egg|2:1:0:DonutBag|-3:-1:0:DonutBag|-1:-1:0:Egg|-3:-4:0:Egg|-1:-4:0:DonutBag|0:-4:0:DonutBag|2:-4:0:Egg|0:-2:0:Egg|2:-1:0:DonutBag|-4:2:0:Lavender|-2:0:0:Lavender|-1:0:0:Lavender|3:-2:0:Lavender|3:-3:0:Lavender|1:-4:0:Lavender|1:-5:0:Lavender|-2:-5:0:Lavender|-4:-4:0:Lavender|3:2:0:Lavender|2:2:0:Lavender|1:2:0:Chocolate|0:0:0:Chocolate|0:-1:0:Chocolate|-2:-1:0:Chocolate|-3:0:0:Chocolate|-4:0:0:Chocolate|-3:-5:0:Chocolate|3:-5:0:Chocolate|-2:-3:0:Chocolate|3:0:0:Chocolate|-3:2:0:Chocolate|-4:1:0:Blueberry|-2:1:0:Blueberry|-1:2:0:Blueberry|0:2:0:Blueberry|3:1:0:Blueberry|3:-1:0:Blueberry|3:-4:0:Blueberry|-2:-4:0:Blueberry|-1:-2:0:Sugar|0:-3:0:Blueberry|1:-3:0:Blueberry|-1:-3:0:Cheese|-4:-1:0:Cheese|-4:-2:0:Cheese|-3:-3:0:Cheese|1:1:0:Cheese|2:0:0:Cheese|2:-5:0:Cheese|0:-5:0:Sugar|-1:-5:0:Sugar|-4:-5:0:Sugar|-4:-3:0:Strawberry|-3:-2:0:Strawberry|-2:-2:0:Strawberry|1:0:0:Strawberry|2:-2:0:Strawberry|2:-3:0:Strawberry|-2:2:0:Strawberry|1:-1:0:Sugar|1:-2:0:Sugar|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4169,2:1:0:Egg|2:-1:0:Egg|0:-2:0:Egg|-1:-1:0:Egg|-3:1:0:Egg|-3:-4:0:Egg|-3:-1:0:DonutBag|-1:1:0:DonutBag|0:1:0:DonutBag|2:-4:0:DonutBag|-4:2:0:Lavender|-1:-4:0:DonutBag|0:-4:0:DonutBag|-4:1:0:Lavender|-1:-5:0:Lavender|-2:-3:0:Lavender|1:-2:0:Lavender|0:0:0:Chocolate|-3:0:0:Chocolate|-2:2:0:Chocolate|1:1:0:Chocolate|3:2:0:Chocolate|3:1:0:Chocolate|2:-3:0:Chocolate|1:-3:0:Chocolate|1:-4:0:Blueberry|1:-5:0:Chocolate|0:-5:0:Chocolate|2:-5:0:Blueberry|3:-3:0:Blueberry|2:-2:0:Blueberry|-1:-3:0:Blueberry|-2:-2:0:Blueberry|-3:-2:0:Blueberry|-4:-2:0:Chocolate|-1:-2:0:Chocolate|-3:2:0:Cheese|-2:1:0:Cheese|-2:0:0:Cheese|0:-1:0:Cheese|1:-1:0:Cheese|0:-3:0:Cheese|-2:-4:0:Cheese|-3:-3:0:Cheese|-4:-3:0:Cheese|-4:-4:0:Cheese|-4:0:0:Sugar|-4:-1:0:Sugar|-1:2:0:Strawberry|0:2:0:Strawberry|2:0:0:Strawberry|3:-1:0:Strawberry|3:-4:0:Strawberry|3:-5:0:Strawberry|-2:-5:0:Strawberry|-2:-1:0:Strawberry|-1:0:0:Strawberry|1:0:0:Strawberry|1:2:0:Sugar|2:2:0:Sugar|3:0:0:Sugar|3:-2:0:Sugar|-3:-5:0:Sugar|-4:-5:0:Sugar|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4170,-3:1:0:DonutBag|-3:-4:0:DonutBag|-1:-1:0:DonutBag|-3:-1:0:DonutBag|-1:-4:0:DonutBag|-1:1:0:Egg|0:1:0:Egg|2:1:0:Egg|2:-1:0:Egg|2:-4:0:Egg|0:-4:0:Egg|0:-2:0:Egg|-4:2:0:Lavender|-2:0:0:Lavender|-2:-1:0:Lavender|3:-4:0:Lavender|3:-5:0:Lavender|2:-5:0:Lavender|2:0:0:Lavender|0:2:0:Lavender|-2:1:0:Chocolate|-4:1:0:Chocolate|-4:-4:0:Chocolate|-2:-4:0:Chocolate|1:-3:0:Chocolate|3:-2:0:Chocolate|1:0:0:Chocolate|-1:2:0:Blueberry|-1:0:0:Blueberry|0:0:0:Blueberry|-2:-2:0:Blueberry|-4:-3:0:Blueberry|-1:-5:0:Blueberry|3:-3:0:Blueberry|2:-3:0:Blueberry|2:-2:0:Blueberry|3:2:0:Blueberry|1:1:0:Cheese|1:2:0:Cheese|2:2:0:Cheese|-2:2:0:Cheese|-3:2:0:Cheese|-3:0:0:Cheese|-3:-3:0:Cheese|-2:-3:0:Cheese|-3:-5:0:Cheese|1:-5:0:Cheese|1:-4:0:Cheese|3:-1:0:Cheese|3:1:0:Strawberry|3:0:0:Strawberry|1:-1:0:Strawberry|1:-2:0:Strawberry|0:-1:0:Strawberry|-1:-2:0:Strawberry|-4:-1:0:Strawberry|-4:-5:0:Strawberry|-2:-5:0:Strawberry|-3:-2:0:Sugar|-4:-2:0:Sugar|-4:0:0:Sugar|-1:-3:0:Sugar|0:-3:0:Sugar|0:-5:0:Sugar|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4171,-3:1:0:DonutBag|-1:1:0:Coin|0:1:0:Coin|2:1:0:Coin|-1:-1:0:Egg|0:-2:0:Egg|-3:-1:0:Coin|-3:-4:0:Coin|-1:-4:0:Coin|0:-4:0:Coin|2:-4:0:DonutBag|2:-1:0:Coin|-3:2:0:Lavender|-4:-1:0:Lavender|-1:-3:0:Lavender|0:-3:0:Lavender|3:-2:0:Lavender|3:-1:0:Lavender|1:1:0:Sugar|3:2:0:Sugar|-2:-5:0:Lavender|-4:2:0:Chocolate|-3:0:0:Chocolate|-2:0:0:Chocolate|-4:-5:0:Chocolate|-2:-4:0:Chocolate|2:-3:0:Chocolate|3:-3:0:Chocolate|0:-1:0:Chocolate|-1:2:0:Blueberry|0:2:0:Blueberry|-4:1:0:Blueberry|-4:0:0:Blueberry|-4:-4:0:Blueberry|1:-4:0:Blueberry|3:-5:0:Blueberry|2:-2:0:Blueberry|1:-2:0:Blueberry|1:-1:0:Blueberry|2:2:0:Blueberry|1:2:0:Cheese|3:1:0:Cheese|3:0:0:Cheese|2:0:0:Cheese|-2:-2:0:Cheese|-4:-3:0:Cheese|-3:-5:0:Cheese|3:-4:0:Cheese|2:-5:0:Cheese|1:-3:0:Cheese|-2:2:0:Strawberry|-2:1:0:Strawberry|-1:0:0:Strawberry|0:0:0:Strawberry|-1:-2:0:Strawberry|-3:-3:0:Strawberry|-4:-2:0:Strawberry|-2:-1:0:Sugar|-3:-2:0:Sugar|-2:-3:0:Sugar|1:0:0:Sugar|1:-5:0:Sugar|-1:-5:0:Sugar|0:-5:0:Blueberry|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4172,-3:0:0:Chocolate|-2:-3:0:Chocolate|2:-4:0:Chocolate|2:-1:0:Chocolate|2:-2:0:Chocolate|3:-1:0:Cheese|3:-2:0:Cheese|2:0:0:Cheese|-2:1:0:Cheese|-1:0:0:Cheese|0:0:0:Cheese|0:2:0:Cheese|-2:-2:0:Cheese|-3:-4:0:Cheese|-1:-5:0:Cheese|-2:0:0:Strawberry|-4:-1:0:Strawberry|-4:-2:0:Strawberry|-2:-4:0:Strawberry|2:1:0:Strawberry|1:-2:0:Strawberry|1:1:0:Sugar|-1:2:0:Sugar|-3:1:0:Sugar|0:-5:0:Sugar|1:-4:0:Sugar|2:-3:0:Sugar|-1:1:0:Blueberry|0:1:0:Blueberry|1:0:0:Blueberry|1:-1:0:Blueberry|-2:-1:0:Chocolate|-3:-3:0:Chocolate|-3:-1:0:Lavender|-3:-2:0:Lavender|-1:-3:0:Lavender|0:-4:0:Lavender|1:-3:0:Lavender|0:-3:0:Cheese|-1:-4:0:Cheese|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4173,-1:2:0:Lavender|0:2:0:Lavender|-4:-1:0:Chocolate|-4:-2:0:Chocolate|-1:-5:0:Blueberry|0:-5:0:Blueberry|3:-1:0:Cheese|3:-2:0:Cheese|-3:1:0:Strawberry|0:0:0:Strawberry|-1:0:0:Strawberry|2:1:0:Strawberry|-3:-2:0:Blueberry|2:-2:0:Blueberry|1:0:0:Blueberry|1:-1:0:Blueberry|-3:-3:0:Cheese|-2:-4:0:Cheese|-1:-4:0:Cheese|-2:0:0:Sugar|-3:-4:0:Sugar|-2:-3:0:Lavender|-2:-2:0:Sugar|-3:-1:0:Lavender|-2:-1:0:Lavender|-3:0:0:Chocolate|2:-4:0:Chocolate|1:-2:0:Chocolate|2:0:0:Chocolate|1:1:0:Sugar|2:-1:0:Sugar|0:-4:0:Sugar|2:-3:0:Strawberry|0:-3:0:Strawberry|-1:-3:0:Strawberry|-2:1:0:Blueberry|-1:1:0:Blueberry|0:1:0:Chocolate|1:-3:0:Lavender|1:-4:0:Lavender|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4174,2:1:0:Strawberry|1:0:0:Strawberry|-2:-3:0:Strawberry|-3:-4:0:Strawberry|-3:1:0:Sugar|-2:0:0:Sugar|1:-3:0:Sugar|2:-4:0:Sugar|0:2:0:Cheese|-1:0:0:Cheese|-2:-2:0:Cheese|-4:-1:0:Cheese|-1:2:0:Blueberry|-1:1:0:Blueberry|0:1:0:Blueberry|0:0:0:Blueberry|2:0:0:Blueberry|3:-2:0:Cheese|0:-4:0:Cheese|-1:-5:0:Strawberry|0:-3:0:Strawberry|-2:1:0:Chocolate|-3:0:0:Chocolate|-2:-1:0:Chocolate|-2:-4:0:Chocolate|1:-4:0:Chocolate|0:-5:0:Chocolate|1:-1:0:Chocolate|1:1:0:Lavender|2:-1:0:Lavender|2:-2:0:Lavender|3:-1:0:Lavender|1:-2:0:Lavender|-1:-3:0:Lavender|-1:-4:0:Lavender|-3:-2:0:Lavender|2:-3:0:Cheese|-3:-1:0:Sugar|-4:-2:0:Sugar|-3:-3:0:Sugar|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4175,-2:0:0:Lavender|0:-2:0:Lavender|3:-1:0:Lavender|3:-2:0:Chocolate|3:-3:0:Lavender|0:-5:0:Lavender|-2:-5:0:Lavender|-4:1:0:Lavender|-1:2:0:Lavender|2:2:0:Lavender|0:0:0:Chocolate|0:1:0:Chocolate|-1:-2:0:Chocolate|-2:-2:0:Chocolate|-4:-1:0:Chocolate|-2:2:0:Chocolate|-1:1:0:Blueberry|-1:0:0:Blueberry|1:-1:0:Blueberry|1:-2:0:Blueberry|-1:-3:0:Blueberry|-4:-5:0:Blueberry|-3:-5:0:Blueberry|-1:-5:0:Blueberry|1:-3:0:Cheese|0:-3:0:Cheese|0:-4:0:Cheese|2:-5:0:Cheese|3:0:0:Cheese|1:0:0:Cheese|0:-1:0:Cheese|-3:-2:0:Cheese|-3:2:0:Cheese|-4:2:0:Cheese|3:2:0:Cheese|0:2:0:Strawberry|1:2:0:Strawberry|3:1:0:Strawberry|2:-1:0:Strawberry|-1:-1:0:Strawberry|-2:-1:0:Strawberry|-4:-4:0:Strawberry|3:-5:0:Strawberry|1:-5:0:Strawberry|-1:-4:0:Sugar|-2:-3:0:Sugar|-4:-3:0:Sugar|-4:-2:0:Sugar|-3:-1:0:Sugar|-4:0:0:Sugar|3:-4:0:Sugar|2:-2:0:Sugar|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
4176,3:2:0:Sugar|1:2:0:Sugar|0:2:0:Sugar|1:-5:0:Sugar|-1:-5:0:Sugar|-2:-5:0:Sugar|-4:-2:0:Sugar|-3:-2:0:Sugar|-2:-1:0:Sugar|-1:-1:0:Sugar|3:-2:0:Sugar|-1:2:0:Strawberry|-2:2:0:Strawberry|2:2:0:Strawberry|3:1:0:Strawberry|3:0:0:Strawberry|2:-1:0:Strawberry|0:-5:0:Strawberry|-1:-3:0:Strawberry|-1:-2:0:Strawberry|-4:-5:0:Chocolate|-4:-1:0:Chocolate|-3:2:0:Cheese|-4:2:0:Cheese|-4:1:0:Cheese|-3:-1:0:Cheese|-2:0:0:Lavender|-2:-3:0:Cheese|-1:-4:0:Cheese|0:-4:0:Cheese|-3:-5:0:Blueberry|-4:-3:0:Cheese|-4:-4:0:Cheese|3:-4:0:Cheese|0:1:0:Cheese|0:0:0:Lavender|1:0:0:Lavender|-4:0:0:Blueberry|-1:1:0:Blueberry|-1:0:0:Blueberry|3:-1:0:Blueberry|2:-2:0:Blueberry|-2:-2:0:Blueberry|2:-5:0:Blueberry|3:-5:0:Blueberry|0:-1:0:Chocolate|1:-2:0:Chocolate|1:-3:0:Chocolate|3:-3:0:Chocolate|1:-1:0:Lavender|0:-2:0:Lavender|0:-3:0:Lavender|,-4:3:0|-3:3:0|-2:3:0|-1:3:0|0:3:0|1:3:0|2:3:0|3:3:0|,
